dt64,OBJECT_ID,coverage,date,ice_off_prob,ice_on_prob,lic,sensor
2001-10-11 09:58:52,IW35016644,0.973857049629834,2001-10-11T09:58:52,0.9999274353659434,,0.0,Landsat-7
2001-10-27 09:59:01,IW35016644,0.9741131545607038,2001-10-27T09:59:01,0.997689829609536,,0.0,Landsat-7
2001-11-21 09:53:04,IW35016644,0.6159459859152053,2001-11-21T09:53:04,0.9938611624809628,0.7171229720115662,0.0,Landsat-7
2001-12-14 09:59:23,IW35016644,0.8287228839745358,2001-12-14T09:59:23,0.952877627736238,0.663749058607036,3.258145363408521,Landsat-7
2001-12-30 09:59:19,IW35016644,0.6695835462895744,2001-12-30T09:59:19,0.5544512825754454,0.8855386521552795,99.89536100453437,Landsat-7
2002-01-08 09:53:17,IW35016644,0.7174109263648676,2002-01-08T09:53:17,0.5723356818369664,0.7425275830029219,96.16129032258064,Landsat-7
2002-01-15 09:59:29,IW35016644,0.5826305798459295,2002-01-15T09:59:29,0.5708323216825617,0.8569760348311803,99.88118811881188,Landsat-7
2002-03-04 09:59:39,IW35016644,0.9832607798345324,2002-03-04T09:59:39,,0.9983699192319008,100.0,Landsat-7
2002-03-13 09:53:26,IW35016644,0.9628604342390652,2002-03-13T09:53:26,0.7148235975515271,0.9799166966555488,98.89820359281435,Landsat-7
2002-03-29 09:53:21,IW35016644,0.849158991222048,2002-03-29T09:53:21,0.6493573878397977,0.9676651443648052,99.48172394980904,Landsat-7
2002-04-05 09:59:30,IW35016644,0.9006464479771654,2002-04-05T09:59:30,0.6493175264287052,0.9285021139070012,97.79033915724564,Landsat-7
2002-04-21 09:59:29,IW35016644,0.7766656968984481,2002-04-21T09:59:29,0.6880730439731503,0.9688867991920268,98.11602870813395,Landsat-7
2002-05-07 09:59:33,IW35016644,0.7716785646259288,2002-05-07T09:59:33,0.8152378535025357,0.9848269728095352,96.63056558363418,Landsat-7
2002-05-16 09:53:15,IW35016644,0.3722564461374054,2002-05-16T09:53:15,0.999807670318568,,0.0,Landsat-7
2002-06-01 09:53:09,IW35016644,0.6947411107271168,2002-06-01T09:53:09,0.9998507134640324,,0.0,Landsat-7
2002-06-17 09:53:03,IW35016644,0.8453432523992135,2002-06-17T09:53:03,0.9996265589343984,,0.0,Landsat-7
2002-07-19 09:52:51,IW35016644,0.9057196962934692,2002-07-19T09:52:51,0.9999529808194652,,0.0,Landsat-7
2002-08-04 09:52:44,IW35016644,0.9587519172085808,2002-08-04T09:52:44,0.9999529681028952,,0.0,Landsat-7
2002-09-05 09:52:31,IW35016644,0.9565258452426868,2002-09-05T09:52:31,0.9998453961714088,,0.0,Landsat-7
